納品番号	FBA15CYF1LBT
納品名	FBA (2022/01/04 16:49) - 1
納品プラン番号	PLN1QN3QHN
納品先	NRT5
SKU 合計	11
商品合計数	65

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
2T-CEDX-VBNH	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (XL)	B0888CBJL3	X000UMZTOF	UPC: 703556067632	新品	不要	"--"	出品者	2
8Q-VTYS-YQ5Z	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	25
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	2
C8-VY3A-HL06	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	13
GL-XU62-YFCJ	【Smart-Bear】W107 女の子 靴下 ガールズ ストッキング 子供 くつした ベイビー ダンス用 子ども お姫様の靴下 かわいい蝶結び 学生用 厚い 暖かい 秋 冬 防寒ウールソックス 4色4足セット (L:13～15cm(3-5歳))	B07WZ1RL1P	X000SG4KX9	UPC: 703556064570	新品	不要	"--"	出品者	1
IL-1DYL-IXMN	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)	B07STZQL61	X000RTDFPB	UPC: 703556063610	新品	不要	"--"	出品者	10
M0-MBM1-G70I	【Smart-Bear】W024 子供靴下 ベビーソックス 滑り止め 柔らかい 快適 吸汗通気 男の子 女の子 かわいい動物柄 通気 5足セット (D, M:13〜15cm(4-6歳))	B087TH19W5	X000UKJBYL	UPC: 703556067335	新品	不要	"--"	出品者	1
RD-N19Y-ZKZI	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (XL:18〜21cm(7-9歳))	B08L4KJDDL	X000VZDWIV	UPC: 703556069100	新品	不要	"--"	出品者	5
T1-N2NB-Q1TX	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (M)	B07SY7458S	X000RSGZR7	UPC: 703556063559	新品	不要	"--"	出品者	4
TR-8MGZ-II7N	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_17_point_0_centimeters)	B089WG1M7S	X000UXVO5H	UPC: 703556068165	新品	不要	"--"	出品者	1
WK-KJTY-O5PK	【Smart-Bear】W108 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 車 星模様 抗菌防臭 吸汗吸湿 弾性 かわいい 通学 綿 秋冬 5足セット (車柄, M:15～18cm(5-7歳))	B07Z8NLR5Z	X000SXHIJ5	UPC: 703556065485	新品	不要	"--"	出品者	1
