納品番号	FBA15CYRMJQ7
納品名	FBA (2022/01/16 10:59) - 1
納品プラン番号	PLN1QRZJJH
納品先	NRT5
SKU 合計	18
商品合計数	58

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
2H-KCMM-7HS3	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_19_point_0_centimeters)	B089XVC243	X000UXXDI3	UPC: 703556068509	新品	不要	"--"	出品者	1
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	3
50-RB4X-I0UD	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (XL, 女)	B093G4YTGH	X000XK962P	UPC: 703556069261	新品	不要	"--"	出品者	1
5E-IANH-I1KD	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_16_point_0_centimeters)	B089WGVVVS	X000UXVO61	UPC: 703556068141	新品	不要	"--"	出品者	1
8Q-VTYS-YQ5Z	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	13
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	3
9Z-9UTZ-BE8A	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, バス柄)	B09NSNCVGG	X000ZKDDR7	UPC: 703556070045	新品	不要	"--"	出品者	2
BL-6R6N-YARS	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (人魚柄, measurement_15_point_0_centimeters)	B08B1RTBC9	X000UYL38T	UPC: 703556068684	新品	不要	"--"	出品者	3
C8-VY3A-HL06	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	11
GP-7JNG-JM04	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_19_point_5_centimeters)	B09838LPZC	X000Y3QVVF	UPC: 703556069568	新品	不要	"--"	出品者	1
GU-26TQ-VQCD	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_20_point_0_centimeters)	B089WG52FC	X000UXRHRV	UPC: 703556068226	新品	不要	"--"	出品者	2
IZ-KJI2-9ICQ	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_15_point_5_centimeters)	B09838BD2Z	X000Y3RKZ1	UPC: 703556069537	新品	不要	"--"	出品者	1
NO-T7XI-7XIR	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_20_point_0_centimeters)	B089Y5T5HG	X000UXXDLF	UPC: 703556068554	新品	不要	"--"	出品者	1
QU-WN46-REY2	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)	B07RRJ2MLN	X000RKL9N5	UPC: 703556062798	新品	不要	"--"	出品者	6
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	1
UC-ZL16-GS2Z	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, バス柄)	B09NSMQLBW	X000ZKDVVP	UPC: 703556070069	新品	不要	"--"	出品者	2
Z3-XTHR-KMEU	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (S)	B07SY8KW7D	X000RU9V9T	UPC: 703556063603	新品	不要	"--"	出品者	4
ZG-5AI3-DLD9	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, パンダ柄)	B09N2R39T8	X000ZJ41M9	UPC: 703556069704	新品	不要	"--"	出品者	2
