納品番号	FBA15CZ10GX3
納品名	FBA (2022/01/25 10:03) - 1
納品プラン番号	PLN1QWGY9C
納品先	TYO2
SKU 合計	17
商品合計数	82

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
16-2SWK-FX0E	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, 自動車柄)	B09NJF7F8W	X000ZJ3JDL	UPC: 703556069865	新品	不要	"--"	出品者	1
1W-OT81-6YJZ	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, キリン柄)	B09NHN1572	X000ZJ43YP	UPC: 703556069810	新品	不要	"--"	出品者	1
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	12
4A-DTGP-MQP7	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 6足セット (M)	B07RSL86XB	X000RJ6VAH	UPC: 703556062958	新品	不要	"--"	出品者	2
8Q-VTYS-YQ5Z	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	15
91-6HG1-LVP0	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_22_point_5_centimeters)	B09838NFL3	X000Y3RL19	UPC: 703556069582	新品	不要	"--"	出品者	1
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	8
A2-8C3Q-TP3H	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_16_point_0_centimeters)	B089Y5K3LH	X000UXZN0T	UPC: 703556068400	新品	不要	"--"	出品者	2
C8-VY3A-HL06	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	10
GM-LRGS-Y4VG	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, キリン柄)	B09NHPKPWB	X000ZJ3JEP	UPC: 703556069834	新品	不要	"--"	出品者	1
IL-1DYL-IXMN	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)	B07STZQL61	X000RTDFPB	UPC: 703556063610	新品	不要	"--"	出品者	5
K0-FLHZ-7ZA5	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, ブルー恐竜柄)	B09NJD26KC	X000ZJ43ZT	UPC: 703556069940	新品	不要	"--"	出品者	2
K9-Y27N-DG0Z	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, オレンジ鹿)	B07ZDDP87D	X000SYHB7D	UPC: 703556065812	新品	不要	"--"	出品者	2
M5-KPD9-RB5V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	5
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	5
UF-7C9K-DWZX	【Smart-Bear】W012 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (XL:18〜21cm(7-9歳))	B08L4M4DJK	X000VZDWPT	UPC: 703556069117	新品	不要	"--"	出品者	2
UT-1YAF-6G6B	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	B07STZSQF2	X000RSGZRH	UPC: 703556063566	新品	不要	"--"	出品者	8
