納品番号	FBA15CZ45MF5
納品名	FBA (2022/01/28 15:16) - 1
納品プラン番号	PLN1QXJY5D
納品先	KIX4
SKU 合計	12
商品合計数	39

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
28-JBW4-RJOM	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_22_point_5_centimeters)	B098DWTGXY	X000Y4QZQF	UPC: 703556069612	新品	不要	"--"	出品者	3
6I-0H96-18IA	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)	B077VWS1WM	X000RJIWPT	--	新品	不要	"--"	出品者	2
A2-QYCP-2JFZ	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (150cm, ウサギ柄)	B09NHPFTJN	X000ZJ3JE5	UPC: 703556069797	新品	不要	"--"	出品者	1
K4-93OB-9REW	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (150cm, パンダ柄)	B09N2PR4CB	X000ZJ440X	UPC: 703556069735	新品	不要	"--"	出品者	3
KH-0RZG-S1GO	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, M)	B07RP5YSYZ	X000RJ3OC5	UPC: 703556062590	新品	不要	"--"	出品者	2
LX-RA4O-U3NE	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, ブルー恐竜柄)	B09NHP9DGC	X000ZJ3JCR	UPC: 703556069957	新品	不要	"--"	出品者	1
MH-OWU7-QZ6B	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, XXL)	B077VYDWWP	X000R15J6H	--	新品	不要	"--"	出品者	2
QU-WN46-REY2	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)	B07RRJ2MLN	X000RKL9N5	UPC: 703556062798	新品	不要	"--"	出品者	5
UT-1YAF-6G6B	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	B07STZSQF2	X000RSGZRH	UPC: 703556063566	新品	不要	"--"	出品者	5
UZ-I6JW-6LOC	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, ブルー鹿)	B07ZDF5LC6	X000SYGL4H	UPC: 703556065843	新品	不要	"--"	出品者	5
XP-0S2T-TY8Z	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, ブルー鹿)	B07ZDCJ8VZ	X000SYG8F9	UPC: 703556065836	新品	不要	"--"	出品者	5
Z3-XTHR-KMEU	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (S)	B07SY8KW7D	X000RU9V9T	UPC: 703556063603	新品	不要	"--"	出品者	5
