納品番号	FBA15D232044
納品名	FBA (2022/05/09 11:41) - 1
納品プラン番号	PLN1RYKXJ9
納品先	TYO2
SKU 合計	19
商品合計数	49

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
6I-0H96-18IA	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)	B077VWS1WM	X000RJIWPT	--	新品	不要	"--"	出品者	5
74-MTWF-NKK7	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_22_point_5_centimeters)	B098DYTNQM	X000Y4RQZT	UPC: 703556069643	新品	不要	"--"	出品者	2
7X-XMTH-ED40	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, ピンク)	B07SVL7M3S	X000RRDNGJ	UPC: 703556063399	新品	不要	"--"	出品者	3
86-XZB0-HL4R	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_22_point_5_centimeters)	B098DXXPTC	X000Y4PEQR	UPC: 703556069636	新品	不要	"--"	出品者	2
8I-RTUV-OM87	【Smart-Bear】W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした 男の子 女の子 ソックス 綿 5足セット (動物柄, M:13〜15cm(3-4歳))	B09QHX365G	X000ZT0CEZ	UPC: 703556070137	新品	不要	"--"	出品者	2
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	5
CR-UG42-OR8Z	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXL, ピンク)	B07SSDVJYF	X000RQCC3P	UPC: 703556063405	新品	不要	"--"	出品者	3
EQ-E9S7-QXE3	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	B07K5QMCP2	X000RT5CCP	--	新品	不要	"--"	出品者	3
F6-ONE1-992E	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXXL, ピンク)	B07RN5DNXS	X000RMF9L1	UPC: 703556062361	新品	不要	"--"	出品者	2
HU-4C3A-YQ59	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XL)	B07RN3T64S	X000RKIE15	UPC: 703556062613	新品	不要	"--"	出品者	3
KY-VS07-AZ19	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XXL)	B098DWHYBR	X000Y4QVL9	UPC: 703556069490	新品	不要	"--"	出品者	2
LQ-0N26-JIVF	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, グレー)	B07RR6YYFZ	X000RMF9KH	UPC: 703556062477	新品	不要	"--"	出品者	1
M5-KPD9-RB5V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	3
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	2
TI-2W16-L26O	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (140cm, ウサギ柄)	B09NHNPGS3	X000ZJ41MT	UPC: 703556069780	新品	不要	"--"	出品者	1
VF-4T5V-BQWE	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, ウサギ2色セット)	B093G8RXDS	X000XK9IOL	UPC: 703556069315	新品	不要	"--"	出品者	2
X8-CEJ2-IGKF	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, L)	B07K5QW4S4	X000RT5CCZ	--	新品	不要	"--"	出品者	4
XA-MQVG-UFQV	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_21_point_0_centimeters)	B089WH8GWJ	X000UXRIBB	UPC: 703556068325	新品	不要	"--"	出品者	2
YL-430X-R4DB	【Smart-Bear】W024 子供靴下 ベビーソックス 滑り止め 柔らかい 快適 吸汗通気 男の子 女の子 かわいい動物柄 通気 5足セット (B, M:13〜15cm(4-6歳))	B087TNYN2M	X000UKJEC5	UPC: 703556067311	新品	不要	"--"	出品者	2
