納品番号	FBA15D2T1J6H
納品名	FBA (2022/05/31 12:37) - 1
納品プラン番号	PLN1S6NYZF
納品先	NRT5
SKU 合計	20
商品合計数	48

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
0R-13SI-4BUS	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_15_point_0_centimeters)	B089WJCGT7	X000UXQ6MN	UPC: 703556068264	新品	不要	"--"	出品者	2
4A-DTGP-MQP7	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 6足セット (M)	B07RSL86XB	X000RJ6VAH	UPC: 703556062958	新品	不要	"--"	出品者	2
7K-1BQC-2KED	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XL)	B098DVR5NR	X000Y4RKFF	UPC: 703556069469	新品	不要	"--"	出品者	2
87-W2HM-4SWM	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, ブルー)	B07RTH7YYW	X000RJJNMP	UPC: 703556062217	新品	不要	"--"	出品者	1
DT-RMBK-MVUT	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, イエロー)	B07SRFJ9NM	X000ROSL5F	UPC: 703556063429	新品	不要	"--"	出品者	2
GD-JMWR-KLP3	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (S, イエロー)	B07STH4C75	X000RS98Z3	UPC: 703556063412	新品	不要	"--"	出品者	4
H3-D2Y7-HO7V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, M)	B07RTGGKQP	X000RKIE0L	UPC: 703556062545	新品	不要	"--"	出品者	2
IL-1DYL-IXMN	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)	B07STZQL61	X000RTDFPB	UPC: 703556063610	新品	不要	"--"	出品者	2
KU-4QVF-H97O	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, イエロー)	B07SSF9C9K	X000ROSLCD	UPC: 703556063443	新品	不要	"--"	出品者	2
L7-WXI9-AW9P	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XXL)	B07RP6Q7SK	X000RMG0AZ	UPC: 703556062620	新品	不要	"--"	出品者	6
LD-NEWP-5XTB	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_19_point_0_centimeters)	B089WHDKSW	X000UXVQ19	UPC: 703556068202	新品	不要	"--"	出品者	2
LV-LGP7-RH5F	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ピンク)	B07RQ5TWY8	X000RJ3N2B	UPC: 703556062330	新品	不要	"--"	出品者	5
N4-FJS5-AX0C	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_18_point_5_centimeters)	B089WGPBWW	X000UXVU8X	UPC: 703556068295	新品	不要	"--"	出品者	4
NN-HJCD-N9FE	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, グリーン)	B07RP7495M	X000RKI7G7	UPC: 703556062262	新品	不要	"--"	出品者	1
PR-MQFU-S8KG	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, グレー)	B07RP5F6PR	X000RJ3LZP	UPC: 703556062453	新品	不要	"--"	出品者	2
RV-6PGA-WUBW	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_21_point_0_centimeters)	B089Y9LF2J	X000UXXD29	UPC: 703556068592	新品	不要	"--"	出品者	1
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	2
SN-NFFV-BYW0	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_17_point_0_centimeters)	B089WHXT1Z	X000UXRIBL	UPC: 703556068288	新品	不要	"--"	出品者	4
YB-YX5P-2VQT	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (M, グレー)	B07RN59781	X000RI8J0X	UPC: 703556062194	新品	不要	"--"	出品者	1
ZF-2SU1-0BTA	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, イエロー)	B07SXR9R43	X000RS9911	UPC: 703556063436	新品	不要	"--"	出品者	1
