納品番号	FBA15D3P99CD
納品名	FBA (2022/06/28 12:27) - 1
納品プラン番号	PLN1SKMKTN
納品先	QCB1
SKU 合計	4
商品合計数	66

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
6H-040M-0Z6H	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (ブラック)	B077WJ3XKY	X000YPFS2V	UPC: 680577732889	新品	不要	"--"	出品者	19
AZ-KB9V-WOXZ	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (ブラウン)	B08QDLTXNP	X000YPFS7L	UPC: 703556069148	新品	不要	"--"	出品者	1
D5-BQDA-9KSD	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (パープル)	B07ZMFZTN4	X000YPES0T	UPC: 703556065980	新品	不要	"--"	出品者	11
O6-48G1-BEO9	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	B077WKV76K	X000YPEU5R	UPC: 680577732896	新品	不要	"--"	出品者	35
